time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,xdes_x,xdes_y,xdes_z,roll,pitch,yaw
26.429,1.1885359114969651,2.2497767638615254,3.404483557949405,-0.025276516436332903,-0.00728064944344523,-0.055094364689444265,1.1008718,2.3059866,3.363002,3.7130015329012167e-07,0.000279673980102757,0.0004068788758244679
26.439,1.1882833128535504,2.2497037419298325,3.403933280755678,-0.025247211414669134,-0.007319972747708654,-0.054974259403054046,1.1013806,2.3067608,3.3649418,3.8179288175399506e-07,0.00021476746411819292,0.00041272273687287253
26.447,1.188030972111333,2.249630323237558,3.4033841939528333,-0.025224253286152947,-0.00735972356255141,-0.05485583603162242,1.1020514,2.3081934,3.3629549,3.929807261826568e-07,0.0001657691671796968,0.0004022163130015244
26.457,1.1877788279863652,2.2495565144552727,3.402836382399289,-0.025207198367582444,-0.007397679649133302,-0.05471731467153211,1.1011825,2.308055,3.3617074,4.091972423125867e-07,0.00011098363032457925,0.0003576189415279707
26.467,1.1875268253540372,2.24948235269381,3.402289917283535,-0.02519529016829037,-0.007430144100409376,-0.05459804049112161,1.1012139,2.3076372,3.360903,4.2511180353699274e-07,6.599023984943386e-05,0.0002662770056001129
26.477,1.187249731032003,2.249400464329744,3.4016898335139003,-0.02518516590236284,-0.007461810768493603,-0.0545151682118538,1.1009328,2.3068898,3.3591964,4.37275246234492e-07,3.0178488628518352e-05,0.00012901371202778122
26.487,1.1870230690128734,2.249333336589362,3.4011996146654466,-0.025183173391880607,-0.007460475586282929,-0.05442738926523655,1.1030462,2.3075542,3.360156,4.437828575731828e-07,7.817030889256671e-07,-3.6567501116024914e-05
26.499,1.1867712482392643,2.2492587642910187,3.40065596801591,-0.025181572100432616,-0.007452074744497051,-0.05431416054108139,1.1034673,2.306487,3.3603966,4.4451389413779907e-07,-2.97918609071246e-05,-0.00023612024636143758
26.507,1.1865194297450576,2.249184365604139,3.4001133570008197,-0.025182409860744215,-0.007427582019911917,-0.05422047939225133,1.1028291,2.3081737,3.360899,4.423295667521643e-07,-4.613523589869217e-05,-0.0003548441013441206
26.517,1.1862424064663224,2.2491029070161597,3.399517517927954,-0.025188625419411872,-0.007359330350089093,-0.05412629620846099,1.1019704,2.3087747,3.3598082,4.395620347708018e-07,-5.913252016309656e-05,-0.00047531520675025973
