time,q1,q2,q3,q4,q5,q6,q7,ee_pos_x,ee_pos_y,ee_pos_z,ee_vel_0,ee_vel_1,ee_vel_2,ee_rpy_roll,ee_rpy_pitch,ee_rpy_yaw,ee_target_pos_x,ee_target_pos_y,ee_target_pos_z,ee_target_quat_x,ee_target_quat_y,ee_target_quat_z,ee_target_quat_w,stage_cost,terminal_cost,joint_limit_cost
11.559,1.1036755210058447,2.7758391394896664,0.435191650795522,5.071971495047998,-0.08887233436383024,3.8263506904183435,-0.0837408202060832,0.1071297579380171,0.3762694203538584,1.6352125105114381,0.0021441939109670717,0.0035721893963713398,-0.0002634246898605579,-1.5727959048952267,-0.001086486590070379,1.5704383495005485,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,44.29030227661133,0.8394600749015808,0.0
11.568,1.1030332973451467,2.775543885968067,0.4360807782465601,5.071734922137451,-0.08859155187447953,3.826190605439156,-0.08432841367621968,0.10704522853703155,0.37634956573009337,1.6352193309730358,0.002653069469445981,0.0034770595960533163,-0.00023361233631149093,-1.5727795853668438,-0.0010950569917520525,1.5705465230942601,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,43.831260681152344,0.8235926628112793,0.0
11.578,1.1023253700411226,2.7751885710050876,0.4370537495226534,5.071447277938366,-0.08829387392236221,3.8260412040668266,-0.08500424689552055,0.10697326163497028,0.37643342140888614,1.6352241733694666,0.002650782446567887,0.0035394483482792663,-2.7423570689966016e-05,-1.5727970971221212,-0.0011141078485383815,1.5706240867018677,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,43.246463775634766,0.8118501305580139,0.0
11.587,1.1016983105982687,2.774815264111356,0.4379005158076401,5.071155504579765,-0.08806321399506611,3.825937294114296,-0.08561377129191605,0.10691124364692563,0.37653163031293824,1.635231377765203,0.001434316426001037,0.0035278239240729157,0.0002098812498579896,-1.572836781400524,-0.0011302355462303737,1.5706734728362726,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,42.19426727294922,0.7360461950302124,0.0
11.599,1.1008858562938704,2.7742092184615226,0.4390083250870438,5.070719360834903,-0.08776236082230238,3.8258225591550348,-0.08649010449783745,0.10686389854912226,0.37663401654413886,1.6352486888502562,4.578341320674197e-05,0.0035289111013351074,1.8485453368088283e-05,-1.5728892410973043,-0.0011490580785462612,1.5707190719607416,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,41.153160095214844,0.6786690950393677,0.0
11.608,1.1002966934017548,2.773703268248572,0.43984395089318795,5.070367482137439,-0.08754119683380335,3.8257375321095326,-0.08718377472584748,0.1068111766080647,0.37676156067594835,1.6352799977159518,0.000338501339381684,0.003234175847523812,-0.0002721427220744597,-1.5729713782456045,-0.0011580292172723716,1.5707872269490248,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,40.54190444946289,0.6486830711364746,0.0
11.619,1.0995685776253596,2.773060332790764,0.440892998730825,5.069911253597222,-0.0873073095667074,3.8256273066386557,-0.08801253633785677,0.10675272078512918,0.37690021206310853,1.6353163584268795,0.0009466452191690135,0.003237924000052082,-5.7420968754493944e-05,-1.573050079336993,-0.0011301675713943915,1.570862448722651,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,39.76229476928711,0.6278330087661743,0.0
11.628,1.0989178412021277,2.772476402221229,0.441788098182049,5.069498923195105,-0.08711670623979195,3.8255517961713226,-0.08872331443682668,0.10670062170060113,0.37705240562291276,1.635357068443891,6.0825416358997756e-05,0.0039106286309750415,0.0007506601632889433,-1.5731194293861,-0.0010958274229242448,1.5709326162983732,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,38.83720779418945,0.6124662756919861,0.0
11.64,1.097989729121788,2.771589818736339,0.44299143454251144,5.0688840296734385,-0.0868673791744703,3.8254815407950344,-0.0897312920426181,0.10667381930355474,0.3772237336747459,1.6354119173749817,-0.0005620493032748284,0.00427852724556167,0.0009968444458205022,-1.5732019911633257,-0.0011139813706053658,1.5709891598674344,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,38.15914535522461,0.6006506681442261,0.0
11.649000000000001,1.0972879246151885,2.7708726457705266,0.44388152546479986,5.068393818006576,-0.08671136484320918,3.825446732846923,-0.09049479665780957,0.10666425241425312,0.37741110300063685,1.6354814400648254,-0.00037681175541495797,0.00413878440590992,0.0008123955103655613,-1.573299061623526,-0.0011524966407048254,1.571043429845558,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,37.41880798339844,0.5671615600585938,0.0
